------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    41.3589   16.1972     01.12.2019 11:00:00    -0.067     5.000
    41.3589   16.1972     01.12.2019 12:00:00    -0.093     5.000
    41.3589   16.1972     01.12.2019 13:00:00    -0.098     5.000
    41.3589   16.1972     01.12.2019 14:00:00    -0.084     5.000
    41.3589   16.1972     01.12.2019 15:00:00    -0.055     5.000
    41.3589   16.1972     01.12.2019 16:00:00    -0.021     5.000
    41.3589   16.1972     01.12.2019 17:00:00     0.010     5.000
    41.3589   16.1972     01.12.2019 18:00:00     0.030     5.000
    41.3589   16.1972     01.12.2019 19:00:00     0.035     5.000
    41.3589   16.1972     01.12.2019 20:00:00     0.025     5.000
    41.3589   16.1972     01.12.2019 21:00:00     0.005     5.000
    41.3589   16.1972     01.12.2019 22:00:00    -0.019     5.000
    41.3589   16.1972     01.12.2019 23:00:00    -0.039     5.000
    41.3589   16.1972     01.13.2019 00:00:00    -0.048     5.000
    41.3589   16.1972     01.13.2019 01:00:00    -0.041     5.000
    41.3589   16.1972     01.13.2019 02:00:00    -0.020     5.000
    41.3589   16.1972     01.13.2019 03:00:00     0.012     5.000
    41.3589   16.1972     01.13.2019 04:00:00     0.047     5.000
    41.3589   16.1972     01.13.2019 05:00:00     0.078     5.000
    41.3589   16.1972     01.13.2019 06:00:00     0.096     5.000
    41.3589   16.1972     01.13.2019 07:00:00     0.097     5.000
    41.3589   16.1972     01.13.2019 08:00:00     0.080     5.000
    41.3589   16.1972     01.13.2019 09:00:00     0.048     5.000
    41.3589   16.1972     01.13.2019 10:00:00     0.007     5.000
    41.3589   16.1972     01.13.2019 11:00:00    -0.034     5.000
    41.3589   16.1972     01.13.2019 12:00:00    -0.068     5.000
    41.3589   16.1972     01.13.2019 13:00:00    -0.089     5.000
    41.3589   16.1972     01.13.2019 14:00:00    -0.092     5.000
    41.3589   16.1972     01.13.2019 15:00:00    -0.079     5.000
    41.3589   16.1972     01.13.2019 16:00:00    -0.055     5.000
    41.3589   16.1972     01.13.2019 17:00:00    -0.025     5.000
    41.3589   16.1972     01.13.2019 18:00:00     0.004     5.000
    41.3589   16.1972     01.13.2019 19:00:00     0.025     5.000
    41.3589   16.1972     01.13.2019 20:00:00     0.035     5.000
    41.3589   16.1972     01.13.2019 21:00:00     0.034     5.000
    41.3589   16.1972     01.13.2019 22:00:00     0.022     5.000
    41.3589   16.1972     01.13.2019 23:00:00     0.006     5.000
    41.3589   16.1972     01.14.2019 00:00:00    -0.009     5.000
    41.3589   16.1972     01.14.2019 01:00:00    -0.018     5.000
    41.3589   16.1972     01.14.2019 02:00:00    -0.017     5.000
    41.3589   16.1972     01.14.2019 03:00:00    -0.006     5.000
    41.3589   16.1972     01.14.2019 04:00:00     0.012     5.000
    41.3589   16.1972     01.14.2019 05:00:00     0.035     5.000
    41.3589   16.1972     01.14.2019 06:00:00     0.055     5.000
    41.3589   16.1972     01.14.2019 07:00:00     0.068     5.000
    41.3589   16.1972     01.14.2019 08:00:00     0.069     5.000
    41.3589   16.1972     01.14.2019 09:00:00     0.056     5.000
    41.3589   16.1972     01.14.2019 10:00:00     0.032     5.000
    41.3589   16.1972     01.14.2019 11:00:00    -0.001     5.000
    41.3589   16.1972     01.14.2019 12:00:00    -0.036     5.000
    41.3589   16.1972     01.14.2019 13:00:00    -0.066     5.000
    41.3589   16.1972     01.14.2019 14:00:00    -0.086     5.000
    41.3589   16.1972     01.14.2019 15:00:00    -0.093     5.000
    41.3589   16.1972     01.14.2019 16:00:00    -0.084     5.000
    41.3589   16.1972     01.14.2019 17:00:00    -0.063     5.000
    41.3589   16.1972     01.14.2019 18:00:00    -0.033     5.000
    41.3589   16.1972     01.14.2019 19:00:00    -0.001     5.000
    41.3589   16.1972     01.14.2019 20:00:00     0.028     5.000
    41.3589   16.1972     01.14.2019 21:00:00     0.048     5.000
    41.3589   16.1972     01.14.2019 22:00:00     0.057     5.000
    41.3589   16.1972     01.14.2019 23:00:00     0.053     5.000
    41.3589   16.1972     01.15.2019 00:00:00     0.040     5.000
    41.3589   16.1972     01.15.2019 01:00:00     0.023     5.000
    41.3589   16.1972     01.15.2019 02:00:00     0.005     5.000
    41.3589   16.1972     01.15.2019 03:00:00    -0.007     5.000
    41.3589   16.1972     01.15.2019 04:00:00    -0.010     5.000
    41.3589   16.1972     01.15.2019 05:00:00    -0.004     5.000
    41.3589   16.1972     01.15.2019 06:00:00     0.009     5.000
    41.3589   16.1972     01.15.2019 07:00:00     0.026     5.000
    41.3589   16.1972     01.15.2019 08:00:00     0.041     5.000
    41.3589   16.1972     01.15.2019 09:00:00     0.048     5.000
    41.3589   16.1972     01.15.2019 10:00:00     0.044     5.000
    41.3589   16.1972     01.15.2019 11:00:00     0.028     5.000
    41.3589   16.1972     01.15.2019 12:00:00     0.001     5.000
    41.3589   16.1972     01.15.2019 13:00:00    -0.032     5.000
    41.3589   16.1972     01.15.2019 14:00:00    -0.065     5.000
    41.3589   16.1972     01.15.2019 15:00:00    -0.091     5.000
    41.3589   16.1972     01.15.2019 16:00:00    -0.103     5.000
    41.3589   16.1972     01.15.2019 17:00:00    -0.098     5.000
    41.3589   16.1972     01.15.2019 18:00:00    -0.076     5.000
    41.3589   16.1972     01.15.2019 19:00:00    -0.041     5.000
    41.3589   16.1972     01.15.2019 20:00:00     0.002     5.000
    41.3589   16.1972     01.15.2019 21:00:00     0.043     5.000
    41.3589   16.1972     01.15.2019 22:00:00     0.075     5.000
    41.3589   16.1972     01.15.2019 23:00:00     0.092     5.000
    41.3589   16.1972     01.16.2019 00:00:00     0.092     5.000
    41.3589   16.1972     01.16.2019 01:00:00     0.075     5.000
    41.3589   16.1972     01.16.2019 02:00:00     0.047     5.000
    41.3589   16.1972     01.16.2019 03:00:00     0.015     5.000
    41.3589   16.1972     01.16.2019 04:00:00    -0.013     5.000
    41.3589   16.1972     01.16.2019 05:00:00    -0.030     5.000
    41.3589   16.1972     01.16.2019 06:00:00    -0.033     5.000
    41.3589   16.1972     01.16.2019 07:00:00    -0.022     5.000
    41.3589   16.1972     01.16.2019 08:00:00    -0.001     5.000
    41.3589   16.1972     01.16.2019 09:00:00     0.022     5.000
    41.3589   16.1972     01.16.2019 10:00:00     0.040     5.000
    41.3589   16.1972     01.16.2019 11:00:00     0.045     5.000
    41.3589   16.1972     01.16.2019 12:00:00     0.034     5.000
    41.3589   16.1972     01.16.2019 13:00:00     0.007     5.000
    41.3589   16.1972     01.16.2019 14:00:00    -0.030     5.000
    41.3589   16.1972     01.16.2019 15:00:00    -0.071     5.000
    41.3589   16.1972     01.16.2019 16:00:00    -0.104     5.000
    41.3589   16.1972     01.16.2019 17:00:00    -0.122     5.000
    41.3589   16.1972     01.16.2019 18:00:00    -0.117     5.000
    41.3589   16.1972     01.16.2019 19:00:00    -0.089     5.000
    41.3589   16.1972     01.16.2019 20:00:00    -0.042     5.000
